"country","bad_teeth_avg","life_expectancy","continent"
"Turkey",2.7,76.3,"Asia"
"Tuvalu",2,65.5,"Oceania"
"Tanzania",0.3,55.9,"Africa"
"Uganda",0.9,52.6,"Africa"
"Ukraine",4.4,68,"Europe"
"Uruguay",2.5,75.2,"Americas"
"United States",1.19,77.7,"Americas"
"Uzbekistan",1.4,64.8,"Asia"
"St. Vincent and the Grenadines",3.2,72.3,"Americas"
"Venezuela",2.1,74.6,"Americas"
"Vietnam",1.9,72.7,"Asia"
"Vanuatu",1.2,63.7,"Oceania"
"Samoa",2.5,69,"Oceania"
"Yemen",3.1,65.3,"Asia"
"South Africa",1.05,52.2,"Africa"
"Zambia",2.3,47.7,"Africa"
"Zimbabwe",1.3,46.4,"Africa"
